Month,Average USD/CHF=,Min USD/CHF=,Max USD/CHF=,Nb of working days
11/2018,1.000912,0.991857,1.0095020000000001,22
10/2018,0.993871,0.983457,1.007157,23
9/2018,0.968041,0.954843,0.97754,20
8/2018,0.988282,0.9682430000000001,0.997401,23
7/2018,0.994563,0.9877299999999999,1.005239,22
6/2018,0.99008,0.981159,0.998189,21
5/2018,0.9972120000000001,0.9852120000000001,1.005209,22
4/2018,0.9685959999999999,0.953968,0.990886,20
3/2018,0.947183,0.9350229999999999,0.95601,21
2/2018,0.934801,0.924118,0.9431799999999999,20
1/2018,0.961141,0.933017,0.982819,22
12/2017,0.9876149999999999,0.975736,0.996764,19
11/2017,0.9916879999999999,0.980165,1.0024110000000002,22
10/2017,0.982152,0.9706229999999999,1.002327,22
9/2017,0.962726,0.945688,0.9753,21
8/2017,0.9656959999999999,0.945053,0.974039,23
7/2017,0.9607829999999999,0.946041,0.968619,21
6/2017,0.9683700000000001,0.957764,0.9747469999999999,22
5/2017,0.986275,0.9704709999999999,1.008471,22
4/2017,1.000409,0.990942,1.009832,18
3/2017,1.002132,0.9838370000000001,1.014975,23
2/2017,1.0016450000000001,0.989082,1.012271,20
1/2017,1.0094319999999999,0.9919110000000001,1.030525,22
12/2016,1.019767,1.008456,1.031166,21
11/2016,0.996461,0.9712430000000001,1.0169700000000002,22
10/2016,0.9874200000000001,0.971698,0.997792,21
9/2016,0.973849,0.966448,0.984927,22
8/2016,0.970561,0.958149,0.9842799999999999,23
7/2016,0.9817790000000001,0.9722770000000001,0.994268,21
6/2016,0.9702,0.954957,0.990676,22
5/2016,0.9778309999999999,0.948829,0.992728,22
4/2016,0.963907,0.9541940000000001,0.97585,21
3/2016,0.9839889999999999,0.960123,1.007737,21
2/2016,0.993383,0.971799,1.020881,21
1/2016,1.007483,0.997704,1.020513,20
12/2015,0.9954860000000001,0.9806969999999999,1.0290569999999999,22
11/2015,1.009172,0.986675,1.030627,21
10/2015,0.9687549999999999,0.95052,0.992772,22
9/2015,0.972551,0.9556879999999999,0.979499,22
8/2015,0.9677020000000001,0.937375,0.985401,21
7/2015,0.954208,0.9355389999999999,0.970607,23
6/2015,0.932406,0.9173100000000001,0.9439879999999999,22
5/2015,0.932133,0.909537,0.951026,20
4/2015,0.963044,0.934998,0.983036,20
3/2015,0.9791290000000001,0.955197,1.007279,22
2/2015,0.9355870000000001,0.920241,0.949498,20
1/2015,0.940472,0.855827,1.020564,21
12/2014,0.975292,0.957885,0.9903629999999999,21
11/2014,0.964339,0.958131,0.9715159999999999,20
10/2014,0.9531139999999999,0.9415889999999999,0.964584,23
9/2014,0.936103,0.918409,0.958674,22
8/2014,0.9100450000000001,0.9046549999999999,0.916161,21
7/2014,0.897432,0.886762,0.90956,23
6/2014,0.8961819999999999,0.890028,0.899911,21
5/2014,0.888813,0.8726430000000001,0.8983690000000001,21
4/2014,0.8825059999999999,0.8766579999999999,0.893066,20
3/2014,0.8809530000000001,0.872185,0.887416,21
2/2014,0.894167,0.8798229999999999,0.905817,20
1/2014,0.904984,0.8954479999999999,0.913574,22
12/2013,0.8935690000000001,0.8856229999999999,0.9102389999999999,20
11/2013,0.9128290000000001,0.9035340000000001,0.9204120000000001,21
10/2013,0.9033329999999999,0.891199,0.916105,23
9/2013,0.924492,0.9047790000000001,0.943966,21
8/2013,0.9270010000000001,0.9197549999999999,0.937893,22
7/2013,0.94552,0.927834,0.9708889999999999,23
6/2013,0.9344020000000001,0.9194389999999999,0.957565,20
5/2013,0.9566899999999999,0.9282090000000001,0.974928,22
4/2013,0.936544,0.925356,0.948472,21
3/2013,0.9462010000000001,0.9405469999999999,0.9543940000000001,20
2/2013,0.9206489999999999,0.905233,0.932049,20
1/2013,0.924745,0.910849,0.934104,22
12/2012,0.921688,0.9093370000000001,0.935839,19
11/2012,0.9395549999999999,0.9268120000000001,0.9495819999999999,22
10/2012,0.932459,0.921939,0.9395610000000001,23
9/2012,0.940448,0.9279149999999999,0.955442,20
8/2012,0.9687209999999999,0.9522639999999999,0.980972,23
7/2012,0.977518,0.954101,0.9934649999999999,22
6/2012,0.958882,0.945293,0.974517,21
5/2012,0.939564,0.9148639999999999,0.9683139999999999,22
