Month,Average USD/GBP=,Min USD/GBP=,Max USD/GBP=,Nb of working days
11/2018,0.775233,0.760886,0.784118,22
10/2018,0.7687,0.755853,0.7852359999999999,23
9/2018,0.765824,0.75274,0.7799,20
8/2018,0.776637,0.761286,0.7872979999999999,23
7/2018,0.759279,0.7493850000000001,0.770608,22
6/2018,0.752594,0.744534,0.764223,21
5/2018,0.742731,0.7332390000000001,0.753963,22
4/2018,0.710468,0.698228,0.728206,20
3/2018,0.715687,0.7029890000000001,0.7273029999999999,21
2/2018,0.715919,0.702464,0.723882,20
1/2018,0.724229,0.701523,0.741242,22
12/2017,0.74573,0.739359,0.74902,19
11/2017,0.7565109999999999,0.742552,0.76371,22
10/2017,0.757681,0.751953,0.764799,22
9/2017,0.750922,0.735961,0.7724409999999999,21
8/2017,0.771778,0.755981,0.780854,23
7/2017,0.769892,0.760886,0.776705,21
6/2017,0.781223,0.7705310000000001,0.790095,22
5/2017,0.773732,0.7670319999999999,0.77876,22
4/2017,0.791172,0.7728550000000001,0.806721,18
3/2017,0.810213,0.793489,0.823657,23
2/2017,0.801255,0.79164,0.808712,20
1/2017,0.8112189999999999,0.794219,0.8288469999999999,22
12/2016,0.801046,0.784516,0.8184600000000001,21
11/2016,0.804643,0.789921,0.817896,22
10/2016,0.810832,0.777127,0.823155,21
9/2016,0.760146,0.747246,0.773308,22
8/2016,0.762791,0.749196,0.7752859999999999,23
7/2016,0.7598779999999999,0.746715,0.770621,21
6/2016,0.704188,0.672535,0.75832,22
5/2016,0.6876140000000001,0.680247,0.695867,22
4/2016,0.6987220000000001,0.68425,0.7128439999999999,21
3/2016,0.702987,0.690265,0.7156,21
2/2016,0.699249,0.6835180000000001,0.721712,21
1/2016,0.694838,0.67728,0.708547,20
12/2015,0.667406,0.659726,0.675721,22
11/2015,0.658187,0.646483,0.666226,21
10/2015,0.65233,0.645637,0.66054,22
9/2015,0.651725,0.6391100000000001,0.659675,22
8/2015,0.6412140000000001,0.633582,0.649716,21
7/2015,0.642836,0.638784,0.650671,23
6/2015,0.642839,0.628464,0.657209,22
5/2015,0.647105,0.633243,0.6616569999999999,20
4/2015,0.669149,0.647971,0.685336,20
3/2015,0.667782,0.649684,0.682591,22
2/2015,0.6524479999999999,0.6451359999999999,0.665429,20
1/2015,0.659874,0.647679,0.667351,21
12/2014,0.639286,0.635319,0.64415,21
11/2014,0.63384,0.6248199999999999,0.639325,20
10/2014,0.622296,0.6170180000000001,0.628262,23
9/2014,0.613241,0.6017279999999999,0.620446,22
8/2014,0.598769,0.59326,0.603434,21
7/2014,0.585801,0.582605,0.5925699999999999,23
6/2014,0.591576,0.5868359999999999,0.597258,21
5/2014,0.593767,0.588849,0.5983689999999999,21
4/2014,0.597434,0.593608,0.603431,20
3/2014,0.601699,0.596301,0.6065050000000001,21
2/2014,0.604128,0.5977439999999999,0.614487,20
1/2014,0.607445,0.6025,0.61201,22
12/2013,0.610345,0.604525,0.615027,20
11/2013,0.620937,0.611821,0.628871,21
10/2013,0.6213529999999999,0.615685,0.627251,23
9/2013,0.6306729999999999,0.619067,0.643258,21
8/2013,0.645451,0.6372909999999999,0.659964,22
7/2013,0.6590199999999999,0.649359,0.6727850000000001,23
6/2013,0.64599,0.635488,0.655352,20
5/2013,0.654142,0.6418010000000001,0.663524,22
4/2013,0.653146,0.643636,0.661366,21
3/2013,0.663352,0.658369,0.672118,20
2/2013,0.645725,0.63156,0.660628,20
1/2013,0.626616,0.613784,0.6356,22
12/2012,0.619232,0.613517,0.624642,19
11/2012,0.6266970000000001,0.6189979999999999,0.631428,22
10/2012,0.62174,0.61779,0.625644,23
9/2012,0.620961,0.614952,0.6297,20
8/2012,0.636191,0.630258,0.643079,23
7/2012,0.641486,0.635666,0.6475609999999999,22
6/2012,0.643309,0.634446,0.653303,21
5/2012,0.628588,0.618189,0.644925,22
4/2012,0.6244649999999999,0.615219,0.63168,19
3/2012,0.632159,0.624364,0.6400779999999999,22
2/2012,0.632921,0.627762,0.638153,21
1/2012,0.644854,0.633804,0.65313,22
12/2011,0.6404850000000001,0.635943,0.6486149999999999,21
11/2011,0.632583,0.622317,0.64695,22
10/2011,0.6351680000000001,0.6210100000000001,0.653252,21
9/2011,0.633225,0.616556,0.6495529999999999,22
8/2011,0.6112350000000001,0.604553,0.6191760000000001,23
7/2011,0.6202949999999999,0.609737,0.631592,21
6/2011,0.616827,0.608594,0.627025,22
5/2011,0.611899,0.599313,0.620364,22
4/2011,0.611432,0.600067,0.623365,19
3/2011,0.6191770000000001,0.610654,0.626653,23
2/2011,0.620102,0.616051,0.625333,20
1/2011,0.634199,0.6243890000000001,0.646787,21
12/2010,0.641569,0.631671,0.650046,23
