Month,Average USD/JPY=,Min USD/JPY=,Max USD/JPY=,Nb of working days
11/2018,113.303265,112.371946,113.950804,22
10/2018,112.86608999999999,111.84699099999999,114.162754,23
9/2018,111.96076200000002,110.839432,113.36385600000001,20
8/2018,111.00411799999999,110.26170800000001,111.841655,23
7/2018,111.44707199999999,110.45042,113.030721,22
6/2018,110.058908,109.431712,110.68794,21
5/2018,109.69315900000001,108.83836200000002,111.26796499999999,22
4/2018,107.658473,106.23984399999999,109.379916,20
3/2018,106.07695,105.08666799999999,106.891259,21
2/2018,107.94816100000001,106.177792,109.863344,20
1/2018,110.886321,108.670799,113.28352,22
12/2017,112.90697800000001,112.14352199999999,113.49651499999999,19
11/2017,112.797776,111.019076,114.193046,22
10/2017,112.935803,111.827501,114.192159,22
9/2017,110.73151399999999,107.379768,112.937569,21
8/2017,109.88746299999998,108.61553799999999,110.85869299999999,23
7/2017,112.495383,110.599471,114.30074499999999,21
6/2017,110.94191699999999,109.36223100000001,112.66976299999999,22
5/2017,112.23676200000001,110.56698700000001,113.92358600000001,22
4/2017,110.318991,108.837296,111.451153,18
3/2017,112.957353,110.138672,115.42523100000001,23
2/2017,112.91311200000001,111.945617,114.4955,20
1/2017,115.08002900000001,113.34706100000001,118.199326,22
12/2016,116.109858,113.88836699999999,118.19139799999999,21
11/2016,108.34595,102.983864,113.28631899999999,22
10/2016,103.826998,101.370595,105.383629,21
9/2016,101.87175699999999,100.285205,103.705365,22
8/2016,101.227281,99.814077,103.314768,23
7/2016,104.128204,100.424571,106.537728,21
6/2016,105.47820700000001,101.65484599999999,109.244675,22
5/2016,108.946858,105.912352,111.185923,22
4/2016,109.60965300000001,107.28755600000001,112.02764199999999,21
3/2016,112.972374,111.52584399999999,114.28703,21
2/2016,114.809661,111.88416399999998,121.269754,21
1/2016,118.1659,116.6957,121.10805900000001,20
12/2015,121.691553,120.39129199999999,123.415672,22
11/2015,122.583549,120.57650500000001,123.49665900000001,21
10/2015,120.022268,118.218376,121.043001,22
9/2015,120.175646,119.249416,121.037103,22
8/2015,123.128729,119.68075800000001,124.88746,21
7/2015,123.39755900000002,121.444122,124.385755,23
6/2015,123.730861,122.450621,125.282207,22
5/2015,120.87393999999999,119.16851000000001,124.229075,20
4/2015,119.617625,118.78121000000002,120.545868,20
3/2015,120.34068400000001,119.08320400000001,121.46235300000001,22
2/2015,118.67178200000001,117.305844,119.809322,20
1/2015,118.27935500000001,116.55160500000001,120.576268,21
12/2014,119.263228,116.28778799999999,121.10458500000001,21
11/2014,116.282652,113.440946,118.31290600000001,20
10/2014,107.989769,105.85143899999998,111.929096,23
9/2014,107.28379199999999,104.294525,109.759199,22
8/2014,102.966938,101.91963,103.965726,21
7/2014,101.723027,101.324016,102.892593,23
6/2014,102.05626099999999,101.361839,102.631385,21
5/2014,101.763971,101.038315,102.481604,21
4/2014,102.530867,101.42012700000001,103.928545,20
3/2014,102.35486800000001,101.289254,103.299474,21
2/2014,102.019534,100.996825,102.519846,20
1/2014,103.942137,102.197396,105.300923,22
12/2013,103.385798,102.052376,105.216571,20
11/2013,100.028352,97.967389,102.310182,21
10/2013,97.781882,96.86118499999999,98.488105,23
9/2013,99.203056,97.578675,100.302115,21
8/2013,97.93082700000001,96.317365,99.810649,22
7/2013,99.695216,97.854562,101.198444,23
6/2013,97.366185,94.149456,100.274977,20
5/2013,101.018171,97.824274,103.118471,22
4/2013,97.90446800000001,93.294393,99.716192,21
3/2013,94.869816,92.715385,96.459767,20
2/2013,93.117683,91.669848,94.210448,20
1/2013,89.047084,86.95619,91.241415,22
12/2012,83.612486,81.94317099999999,86.107322,19
11/2012,81.017717,79.12399599999999,82.681349,22
10/2012,78.981996,77.984002,80.158547,23
9/2012,78.171123,77.625677,78.90760300000001,20
8/2012,78.692963,78.224101,79.52845500000001,23
7/2012,78.985946,78.132137,79.882039,22
6/2012,79.240284,78.112319,80.29348399999999,21
5/2012,79.72825,78.73901500000001,80.491443,22
4/2012,81.296217,80.104435,82.551243,19
3/2012,82.477133,80.754573,84.015123,22
2/2012,78.458511,76.11119599999999,80.563401,21
1/2012,76.967734,76.37371,78.055942,22
12/2011,77.811325,77.345265,78.12524,21
11/2011,77.47074599999999,76.649971,78.212372,22
10/2011,76.65371400000001,75.769774,78.008714,21
9/2011,76.79352,76.18764,77.788232,22
