Month,Average USD/JPY=,Min USD/JPY=,Max USD/JPY=,Nb of working days,,Month,Average USD/GBP=,Min USD/GBP=,Max USD/GBP=,Nb of working days,,Month,Average USD/CHF=,Min USD/CHF=,Max USD/CHF=,Nb of working days,,Month,Average USD/EUR=,Min USD/EUR=,Max USD/EUR=,Nb of working days
Nov-18,113.303265,112.371946,113.950804,22,,Nov-18,0.775233,0.760886,0.784118,22,,Nov-18,1.000912,0.991857,1.009502,22,,Nov-18,0.879773,0.870549,0.888021,22
Oct-18,112.86609,111.846991,114.162754,23,,Oct-18,0.7687,0.755853,0.785236,23,,Oct-18,0.993871,0.983457,1.007157,23,,Oct-18,0.870816,0.861623,0.883548,23
Sep-18,111.960762,110.839432,113.363856,20,,Sep-18,0.765824,0.75274,0.7799,20,,Sep-18,0.968041,0.954843,0.97754,20,,Sep-18,0.857763,0.849113,0.864902,20
Aug-18,111.004118,110.261708,111.841655,23,,Aug-18,0.776637,0.761286,0.787298,23,,Aug-18,0.988282,0.968243,0.997401,23,,Aug-18,0.865963,0.853971,0.883314,23
Jul-18,111.447072,110.45042,113.030721,22,,Jul-18,0.759279,0.749385,0.770608,22,,Jul-18,0.994563,0.98773,1.005239,22,,Jul-18,0.855759,0.848248,0.862962,22
Jun-18,110.058908,109.431712,110.68794,21,,Jun-18,0.752594,0.744534,0.764223,21,,Jun-18,0.99008,0.981159,0.998189,21,,Jun-18,0.856336,0.84488,0.867002,21
May-18,109.693159,108.838362,111.267965,22,,May-18,0.742731,0.733239,0.753963,22,,May-18,0.997212,0.985212,1.005209,22,,May-18,0.846676,0.832848,0.865202,22
Apr-18,107.658473,106.239844,109.379916,20,,Apr-18,0.710468,0.698228,0.728206,20,,Apr-18,0.968596,0.953968,0.990886,20,,Apr-18,0.814625,0.807233,0.8285,20
Mar-18,106.07695,105.086668,106.891259,21,,Mar-18,0.715687,0.702989,0.727303,21,,Mar-18,0.947183,0.935023,0.95601,21,,Mar-18,0.810642,0.805088,0.821625,21
Feb-18,,106.177792,109.863344,20,,Feb-18,0.715919,0.702464,0.723882,20,,Feb-18,0.934801,0.924118,0.94318,20,,Feb-18,0.809896,0.800448,0.818733,20
