Month,Average USD/EUR=,Min USD/EUR=,Max USD/EUR=,Nb of working days
11/2018,0.8797729999999999,0.870549,0.888021,22
10/2018,0.870816,0.8616229999999999,0.883548,23
9/2018,0.8577629999999999,0.8491129999999999,0.8649020000000001,20
8/2018,0.8659629999999999,0.8539709999999999,0.8833139999999999,23
7/2018,0.855759,0.848248,0.8629620000000001,22
6/2018,0.8563360000000001,0.84488,0.867002,21
5/2018,0.846676,0.8328479999999999,0.865202,22
4/2018,0.814625,0.807233,0.8285,20
3/2018,0.810642,0.805088,0.821625,21
2/2018,0.809896,0.8004479999999999,0.818733,20
1/2018,0.819851,0.802761,0.838082,22
12/2017,0.844888,0.8338200000000001,0.8520790000000001,19
11/2017,0.852009,0.83668,0.8649020000000001,22
10/2017,0.850666,0.843455,0.861698,22
9/2017,0.8393459999999999,0.8291870000000001,0.851716,21
8/2017,0.8469690000000001,0.8300129999999999,0.8539709999999999,23
7/2017,0.8688389999999999,0.8525879999999999,0.88269,21
6/2017,0.8905549999999999,0.876194,0.8971020000000001,22
5/2017,0.9045049999999999,0.889442,0.92081,22
4/2017,0.9327030000000001,0.9149129999999999,0.945358,18
3/2017,0.936016,0.918358,0.9511129999999999,23
2/2017,0.9396639999999999,0.925241,0.951203,20
1/2017,0.942206,0.9298,0.9629270000000001,22
12/2016,0.948636,0.9291950000000001,0.964878,21
11/2016,0.926326,0.901307,0.948047,22
10/2016,0.9070360000000001,0.8899959999999999,0.919794,21
9/2016,0.891907,0.8852690000000001,0.897183,22
8/2016,0.891965,0.881912,0.90269,23
7/2016,0.9034840000000001,0.8962979999999999,0.910581,21
6/2016,0.8906459999999999,0.8780399999999999,0.909256,22
5/2016,0.8842040000000001,0.8643790000000001,0.897747,22
4/2016,0.881915,0.8747379999999999,0.8887309999999999,21
3/2016,0.901115,0.8783489999999999,0.92115,21
2/2016,0.9016,0.88129,0.9187799999999999,21
1/2016,0.92086,0.915751,0.930925,20
12/2015,0.919451,0.909918,0.9433959999999999,22
11/2015,0.931577,0.9064540000000001,0.945269,21
10/2015,0.8902209999999999,0.874202,0.9149129999999999,22
9/2015,0.891207,0.875733,0.897827,22
8/2015,0.897978,0.8691120000000001,0.9188639999999999,21
7/2015,0.909492,0.8940549999999999,0.9214889999999999,23
6/2015,0.89187,0.876885,0.9137430000000001,22
5/2015,0.897068,0.875733,0.9205559999999999,20
4/2015,0.9278930000000001,0.8916629999999999,0.947688,20
3/2015,0.9230219999999999,0.89071,0.9472389999999999,22
2/2015,0.881106,0.873591,0.8896799999999999,20
1/2015,0.860865,0.830358,0.8930170000000001,21
12/2014,0.811005,0.797639,0.8236549999999999,21
11/2014,0.8017920000000001,0.797512,0.8069069999999999,20
10/2014,0.789121,0.779849,0.798467,23
9/2014,0.7751979999999999,0.7603979999999999,0.794723,22
8/2014,0.751,0.745045,0.758898,21
7/2014,0.738628,0.730567,0.74744,23
6/2014,0.735712,0.732172,0.739208,21
5/2014,0.728267,0.716692,0.734916,21
4/2014,0.723989,0.720877,0.729927,20
3/2014,0.723474,0.7172569999999999,0.728226,21
2/2014,0.7321770000000001,0.723956,0.741015,20
1/2014,0.734749,0.7306199999999999,0.7398640000000001,22
12/2013,0.729759,0.723903,0.738771,20
11/2013,0.741147,0.7347,0.748223,21
10/2013,0.733446,0.724375,0.741125,23
9/2013,0.749265,0.73828,0.762369,21
8/2013,0.751355,0.746714,0.757404,22
7/2013,0.764609,0.752785,0.780457,23
6/2013,0.758286,0.745935,0.7687579999999999,20
5/2013,0.770342,0.758093,0.7780279999999999,22
4/2013,0.7677350000000001,0.7616729999999999,0.780153,21
3/2013,0.771422,0.763942,0.783208,20
2/2013,0.748661,0.732923,0.7647010000000001,20
1/2013,0.752659,0.738007,0.768521,22
12/2012,0.762283,0.751767,0.774893,19
11/2012,0.779608,0.769586,0.787774,22
10/2012,0.770782,0.762195,0.776578,23
9/2012,0.777992,0.76365,0.795672,20
8/2012,0.806519,0.792959,0.81666,23
7/2012,0.813875,0.794092,0.827198,22
6/2012,0.798362,0.787154,0.811557,21
5/2012,0.782165,0.7614989999999999,0.806257,22
4/2012,0.7598020000000001,0.750807,0.767813,19
3/2012,0.7575529999999999,0.748727,0.7658729999999999,22
2/2012,0.756264,0.743273,0.770297,21
1/2012,0.775004,0.7589560000000001,0.789328,22
12/2011,0.758942,0.740138,0.7758550000000001,21
11/2011,0.7378020000000001,0.724165,0.755915,22
10/2011,0.729854,0.7062149999999999,0.758668,21
9/2011,0.726457,0.7000350000000001,0.7446020000000001,22
8/2011,0.69723,0.6902739999999999,0.707064,23
7/2011,0.701133,0.689655,0.715564,21
6/2011,0.695079,0.682501,0.709824,22
5/2011,0.6971430000000001,0.671953,0.713267,22
4/2011,0.692559,0.672948,0.707164,19
3/2011,0.714532,0.70368,0.726058,23
2/2011,0.732703,0.722857,0.7440479999999999,20
1/2011,0.748811,0.7290760000000001,0.775014,21
12/2010,0.756462,0.744325,0.765462,23
11/2010,0.732405,0.70205,0.769349,22
10/2010,0.719577,0.70917,0.729661,21
9/2010,0.765702,0.732708,0.7875880000000001,22
8/2010,0.775758,0.754546,0.792959,22
7/2010,0.783457,0.765169,0.81493,22
6/2010,0.8191930000000001,0.807037,0.8373809999999999,22
5/2010,0.796253,0.755401,0.81813,21
4/2010,0.7460060000000001,0.734484,0.7550020000000001,20
3/2010,0.73706,0.72648,0.749738,23
2/2010,0.730765,0.7151029999999999,0.741345,20
1/2010,0.700779,0.6866720000000001,0.716025,20
12/2009,0.6845399999999999,0.6613760000000001,0.700476,22
11/2009,0.6706489999999999,0.662998,0.682221,21
10/2009,0.674987,0.665779,0.6879,22
9/2009,0.6868270000000001,0.676453,0.703235,22
8/2009,0.7009,0.693963,0.710631,21
7/2009,0.709885,0.70082,0.71958,23
6/2009,0.713503,0.702346,0.722543,22
5/2009,0.732805,0.70932,0.756258,20
4/2009,0.758238,0.7409600000000001,0.7732760000000001,20
3/2009,0.7669630000000001,0.731475,0.796495,22
2/2009,0.782243,0.7687579999999999,0.794218,20
1/2009,0.755724,0.7211890000000001,0.781555,21
12/2008,0.745201,0.684182,0.793147,21
11/2008,0.785486,0.773096,0.798403,20
10/2008,0.751621,0.7101770000000001,0.8025680000000001,23
9/2008,0.696091,0.678841,0.717669,22
8/2008,0.668063,0.642096,0.685025,21
7/2008,0.634154,0.625391,0.641478,23
6/2008,0.6430100000000001,0.6335529999999999,0.652061,21
5/2008,0.642842,0.634478,0.651593,21
4/2008,0.634944,0.6273529999999999,0.644081,22
3/2008,0.644179,0.6324310000000001,0.658068,19
2/2008,0.678146,0.659326,0.689037,21
1/2008,0.67948,0.671366,0.690512,22
12/2007,0.686388,0.67838,0.696913,19
11/2007,0.681078,0.6723140000000001,0.693337,22
10/2007,0.702903,0.692185,0.712403,23
9/2007,0.7197439999999999,0.7052189999999999,0.7363770000000001,20
8/2007,0.734129,0.723694,0.7459899999999999,23
7/2007,0.729123,0.722909,0.735943,22
6/2007,0.745255,0.738989,0.7526149999999999,21
5/2007,0.7401340000000001,0.734484,0.745156,22
4/2007,0.739896,0.732654,0.748951,19
3/2007,0.755213,0.748951,0.764351,22
2/2007,0.764899,0.755858,0.773694,20
1/2007,0.769353,0.75358,0.7756149999999999,22
12/2006,0.756861,0.750131,0.76365,19
11/2006,0.776416,0.757576,0.7872779999999999,22
10/2006,0.792983,0.785114,0.799041,22
9/2006,0.78554,0.778089,0.7902640000000001,21
8/2006,0.780571,0.774054,0.786287,23
7/2006,0.788455,0.781616,0.801154,21
6/2006,0.790583,0.771724,0.799872,22
5/2006,0.783143,0.774353,0.794155,22
4/2006,0.815017,0.797639,0.828981,18
3/2006,0.831988,0.820681,0.839419,23
2/2006,0.837665,0.826993,0.8437389999999999,20
1/2006,0.8263,0.813405,0.8455940000000001,22
12/2005,0.8435030000000001,0.8319469999999999,0.8549200000000001,21
11/2005,0.8485540000000001,0.8304959999999999,0.857118,22
10/2005,0.8323510000000001,0.8234520000000001,0.8380120000000001,21
9/2005,0.816052,0.797385,0.832986,22
8/2005,0.813541,0.802761,0.820951,23
7/2005,0.8307459999999999,0.8205459999999999,0.8415379999999999,21
6/2005,0.8220780000000001,0.811425,0.8296,22
5/2005,0.7879189999999999,0.771962,0.810964,22
4/2005,0.772948,0.7647010000000001,0.78064,21
3/2005,0.757648,0.745379,0.7736350000000001,21
2/2005,0.768493,0.7541479999999999,0.783576,20
1/2005,0.762199,0.7403569999999999,0.773036,21
12/2004,0.745911,0.733514,0.758093,23
